DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200142;Bischoffgasse;Wien;90001;16.3219935;48.1833792
60200143;Bischofgasse;Wien;90001;16.3976855;48.1380665
60200144;Blaasstraße;Wien;90001;16.3415138;48.2371248
60200145;Blechturmgasse;Wien;90001;16.3682747;48.1843555
60200146;Bleibtreustraße;Wien;90001;16.4492578;48.1779225
60200147;Blériotgasse;Wien;90001;16.4256411;48.1709734
60200148;Blindengasse;Wien;90001;16.3404808;48.2109714
60200149;Blumengasse;Wien;90001;16.3317312;48.2214942
60200150;Hetmanekgasse;Wien;90001;16.3169719;48.1373172
60200152;Bohattaweg;Wien;90001;16.2297095;48.1379406
60200153;Borkowskigasse;Wien;90001;16.3301951;48.2371248
60200155;Maculang./Wagramer Str.;Wien;90001;16.4536865;48.2624873
60200156;Braillegasse;Wien;90001;16.2946398;48.2027755
60200157;Brandstätte;Wien;90001;16.3705384;48.210265
60200158;Braungasse;Wien;90001;16.2960501;48.2269224
60200159;Grimmgasse;Wien;90001;16.3280391;48.1868769
60200160;Braunhubergasse;Wien;90001;16.4186701;48.1717882
60200161;Braunschweiggasse;Wien;90001;16.2954572;48.1894881
60200162;Scheffelstraße;Wien;90001;16.4055458;48.2516619
60200163;Breiteneckergasse;Wien;90001;16.3292878;48.144025
60200164;Breitenlee Friedhof;Wien;90001;16.4929159;48.2511655
60200165;Breitenlee Ort;Wien;90001;16.4975871;48.2511954
60200166;Breitensee;Wien;90001;16.3063628;48.198243
60200167;Roschégasse;Wien;90001;16.4502908;48.1539323
60200168;Bretschneidergasse;Wien;90001;16.3481254;48.2542399
60200169;Brigittagasse;Wien;90001;16.3747246;48.2332774
60200170;Brigittaplatz;Wien;90001;16.3703318;48.2326431
60200171;Brockhausengasse;Wien;90001;16.4770067;48.2076908
60200172;Thaliastraße/Brunnengasse;Wien;90001;16.3354323;48.2090498
60200173;Neulerchenfelder Str./Brunneng.;Wien;90001;16.3359443;48.2110911
60200174;Brunner Str./Erlaaer Str.;Wien;90001;16.2968137;48.1461948
60200175;Brückengasse;Wien;90001;16.3476044;48.1913027
60200176;Brünner Straße;Wien;90001;16.4037042;48.2677557
60200177;Bergtaidingweg;Wien;90001;16.3973172;48.1466084
60200178;Brünnlbadgasse;Wien;90001;16.3457359;48.2153951
60200179;Brüßlgasse;Wien;90001;16.3203765;48.2060624
60200180;Bubergasse;Wien;90001;16.4514766;48.2704524
60200181;Buchbindergasse;Wien;90001;16.2703313;48.1636939
60200182;Grünhaufenbrücke;Wien;90001;16.4542614;48.1909015
60200183;Computerstr./Gutheil-Schoder-G.;Wien;90001;16.3368696;48.1599728
60200184;Hütteldorf, Bujattigasse;Wien;90001;16.2551408;48.2026318
60200185;Bundessportbad;Wien;90001;16.4205656;48.240206
60200186;Bunsengasse;Wien;90001;16.3910739;48.2631033
60200187;Burgersteingasse;Wien;90001;16.298251;48.202566
60200188;Burggasse-Stadthalle;Wien;90001;16.3373097;48.2022965
60200189;Campingplatz Wien-West 2;Wien;90001;16.2495443;48.2145092
60200190;Burgring;Wien;90001;16.3637202;48.2039251
60200191;Burgstall;Wien;90001;16.3612947;48.269992
60200192;Rathausplatz/Burgtheater;Wien;90001;16.3606569;48.2104446
60200193;Bärenmühldurchgang;Wien;90001;16.3662894;48.1995124
60200194;Börnergasse;Wien;90001;16.3316324;48.2475644
60200195;Börse;Wien;90001;16.3660019;48.2155627
60200197;Camillo-Sitte-Gasse;Wien;90001;16.3273025;48.2050027
60200198;Breitenfurter Str./Willergasse;Wien;90001;16.2571171;48.1379646
60200199;Campingplatz Wien-Süd;Wien;90001;16.2994278;48.149839
60200200;Campingplatz Wien-West 1;Wien;90001;16.2535149;48.2112827
60200201;Campingplatzweg;Wien;90001;16.48113;48.2758275
60200202;Canisiusgasse;Wien;90001;16.3548089;48.2280474
60200203;Carabelligasse;Wien;90001;16.4108099;48.2802157
60200204;Carlbergergasse;Wien;90001;16.2979545;48.1412137
60200206;Celtesgasse;Wien;90001;16.2962298;48.2518234
60200207;Hafen Freudenau;Wien;90001;16.4723804;48.1786053
60200208;Chimanistraße;Wien;90001;16.3438674;48.239506
60200209;Cobenzl Parkplatz;Wien;90001;16.3214365;48.2639884
60200210;Cobenzlgasse;Wien;90001;16.3299974;48.2639405
60200211;Columbusplatz;Wien;90001;16.3737184;48.1820375
60200212;Triester Str./Computerstraße;Wien;90001;16.3420169;48.1576358
60200213;Concordiaplatz;Wien;90001;16.3700623;48.2137011
60200214;Corvinusgasse;Wien;90001;16.2807428;48.1445645
60200215;Cottagegasse;Wien;90001;16.3421337;48.2338518
60200216;Cottagestraße;Wien;90001;16.2262959;48.2151676
60200217;Czartoryskigasse;Wien;90001;16.3274462;48.227808
60200218;Dahliengasse;Wien;90001;16.441;48.2869108
60200219;Dammstraße;Wien;90001;16.3751378;48.2345998
60200220;Dampfkraftwerk Donaustadt;Wien;90001;16.4600915;48.1980274
60200221;Dampfschiffhaufen;Wien;90001;16.4322257;48.2171369
60200222;Danzergasse;Wien;90001;16.488613;48.2087325
60200223;Daphneweg;Wien;90001;16.5302499;48.244352
60200224;Daringergasse;Wien;90001;16.3344621;48.2466492
60200225;Davidgasse;Wien;90001;16.3563271;48.1754724
60200226;Deindorfstraße;Wien;90001;16.5432036;48.2168556
60200227;Deißenhofergasse;Wien;90001;16.2805901;48.1585467
60200228;Laxenburger Str./Heizwerkstr.;Wien;90001;16.3587435;48.1396072
60200229;Dietmayrgasse;Wien;90001;16.3686699;48.2393146
60200230;Dirnelwiese;Wien;90001;16.379297;48.2929118
60200231;Dobrowskygasse;Wien;90001;16.3317402;48.1435515
60200232;Doeltergasse;Wien;90001;16.4382534;48.2594911
60200233;Dommayergasse;Wien;90001;16.2989157;48.1864697
60200234;Donauinsel;Wien;90001;16.4109806;48.2289989
60200235;Floridsdorfer Brücke;Wien;90001;16.3877411;48.2485634
60200236;Donaustadtstraße;Wien;90001;16.4436882;48.2336843
60200237;Donauwarte;Wien;90001;16.3459785;48.2845557
60200238;Siebeckstraße;Wien;90001;16.4346512;48.2418333
60200239;Dopschstraße;Wien;90001;16.4388283;48.2692386
60200240;Dorfmeistergasse;Wien;90001;16.2961759;48.1645267
60200241;Dornbacher Straße;Wien;90001;16.3018712;48.2281611
60200242;Dostalgasse;Wien;90001;16.2631269;48.1598949
60200243;Dostgasse;Wien;90001;16.2531735;48.2201535
60200244;Dr.-Adolf-Schärf-Heim;Wien;90001;16.3698826;48.2458296
60200245;Stubentor;Wien;90001;16.3802761;48.2070682
60200246;Ring/Volkstheater U;Wien;90001;16.3598574;48.2067808
60200247;Dr.-Neumann-Gasse;Wien;90001;16.2882258;48.1381804
60200248;Dr.-Schober-Straße;Wien;90001;16.272667;48.1667616
60200249;Draugasse;Wien;90001;16.4386307;48.2854703
60200250;Dunantgasse;Wien;90001;16.3889269;48.2600294
60200251;Dänenstraße;Wien;90001;16.3345519;48.2371008
60200252;Döblinger Bad;Wien;90001;16.3572703;48.2512313
60200253;Döblinger Friedhof;Wien;90001;16.3293956;48.2391112
60200254;Döblinger Steg;Wien;90001;16.3654;48.2407744
60200255;Dörmanngasse;Wien;90001;16.5340857;48.2224757
60200256;Kraftwerk Simmering;Wien;90001;16.4308064;48.1850143
60200257;Eberstorferweg;Wien;90001;16.280087;48.1547354
60200258;Edelsteingasse;Wien;90001;16.4256051;48.262296
60200259;Edenstraße;Wien;90001;16.2463284;48.2148025
60200260;Strebersdorf, Edmund-Hawranek-Platz;Wien;90001;16.3865464;48.2914057
60200261;Eduard-Kittenberger-Gasse;Wien;90001;16.3034702;48.1368016
60200262;Albrechtskreithgasse;Wien;90001;16.3204663;48.2192797
60200263;Egon-Friedell-Gasse;Wien;90001;16.4364119;48.2738904
60200264;Eibesbrunnergasse;Wien;90001;16.3374624;48.1710333
60200266;Eichbachgasse;Wien;90001;16.2473794;48.2216319
60200267;Eichenstraße;Wien;90001;16.3498412;48.1804263
60200268;Einsiedeleigasse;Wien;90001;16.2643486;48.1833852
60200269;Einsiedlerplatz;Wien;90001;16.3494729;48.1852599
60200270;Luzegasse;Wien;90001;16.4501561;48.1608237
60200271;Eipeldauer Straße;Wien;90001;16.4362592;48.2630435
60200272;Eisenstadtplatz;Wien;90001;16.3845701;48.1694757
60200273;Eisstoßgasse;Wien;90001;16.4409214;48.2179569
60200274;Elderschplatz;Wien;90001;16.4122562;48.2179449
60200275;Elsbeergasse;Wien;90001;16.2544042;48.2184597
60200276;Elterleinplatz;Wien;90001;16.3310575;48.2181784
60200277;Embelgasse;Wien;90001;16.3524194;48.1827143
60200278;Endemanngasse;Wien;90001;16.2904356;48.1530933
60200279;Engerthstraße/Innstraße;Wien;90001;16.3925831;48.2335168
60200280;Engerthstraße/Traisengasse;Wien;90001;16.3892234;48.236329
60200281;Englisch-Feld-Gasse;Wien;90001;16.5359991;48.2099238
60200282;Donaumarina;Wien;90001;16.4309681;48.2061223
60200283;Erdbergstr./Schlachthausgasse;Wien;90001;16.4079712;48.1952909
60200285;Erlaaer Straße;Wien;90001;16.3165317;48.1418491
60200286;Erlachplatz;Wien;90001;16.3694604;48.1786173
60200287;Erndtgasse;Wien;90001;16.3226582;48.2373222
60200288;Erzherzog-Karl-Straße;Wien;90001;16.4532283;48.2295674
60200289;Erdberg;Wien;90001;16.4139989;48.1915243
60200290;Donaustadtbrücke;Wien;90001;16.4401309;48.2117915
60200291;Eselstiege;Wien;90001;16.2868154;48.2243909
60200292;Eslarngasse;Wien;90001;16.3958799;48.1967281
60200293;Esterházygasse;Wien;90001;16.3509372;48.1951233
60200294;Etrichstraße;Wien;90001;16.4614389;48.1484365
60200295;Daumegasse;Wien;90001;16.3743922;48.1639875
60200296;Evangelischer Friedhof;Wien;90001;16.3602707;48.1798453
60200297;Eßling Schule;Wien;90001;16.5263602;48.2140902
60200298;Eßling Friedhof;Wien;90001;16.5316513;48.216263
60200299;Aspernstraße;Wien;90001;16.474761;48.2224458
60200300;Fasangasse;Wien;90001;16.3850282;48.1884101
60200301;Heiligenstadt S+U/12.-Februar-Platz;Wien;90001;16.3627141;48.2489283
60200302;Diesterweggasse;Wien;90001;16.3063358;48.1937579
60200303;Wattmanng./Elisabethallee;Wien;90001;16.2953584;48.176383
60200304;Döblinger Frhf./F.-Dahn-Str.;Wien;90001;16.325991;48.2400385
60200305;Felmayergasse;Wien;90001;16.4322886;48.2729697
60200306;Fendigasse;Wien;90001;16.3557881;48.1839362
60200307;Sonnleithnergasse;Wien;90001;16.3630105;48.1789827
60200308;Gspöttgraben;Wien;90001;16.3145554;48.2558847
60200309;Fernsprechamt Heiligenstadt;Wien;90001;16.3605761;48.2541263
60200311;Feuerwache Am Steinhof;Wien;90001;16.2780569;48.2153352
60200312;Feuerwache Grinzing;Wien;90001;16.3324948;48.2615305
60200314;Fickeysstraße;Wien;90001;16.423557;48.1672409
60200315;Filmteichstraße;Wien;90001;16.3968501;48.1526258
60200316;Finsterbuschstraße Nord;Wien;90001;16.499806;48.1722555
60200317;Billgasse;Wien;90001;16.4833578;48.2244388
60200318;Löschniggasse;Wien;90001;16.480618;48.2227391
60200319;1. Haidequerstraße Mitte;Wien;90001;16.4291265;48.1824388
